DataPoint,Wavelength_1_Left Hand_,Wavelength_1_Right Hand_,Wavelength_1__,Wavelength_1__,Wavelength_1__,Wavelength_2_Left Hand_,Wavelength_2_Right Hand_,Wavelength_2__,Wavelength_2__,Wavelength_2__,Wavelength_3_Left Hand_,Wavelength_3_Right Hand_,Wavelength_3__,Wavelength_3__,Wavelength_3__
156,0.913574,0,1,0,0,0.913574,0,1,0,0,0.913574,0,1,0,0
157,0.921336,0,1,0,0,0.921336,0,1,0,0,0.921336,0,1,0,0
158,0.928931,0,1,0,0,0.928931,0,1,0,0,0.928931,0,1,0,0
159,0.936361,0,1,0,0,0.936361,0,1,0,0,0.936361,0,1,0,0
160,0.943626,0,1,0,0,0.943626,0,1,0,0,0.943626,0,1,0,0
161,0.950728,0,1,0,0,0.950728,0,1,0,0,0.950728,0,1,0,0
162,0.957667,0,1,0,0,0.957667,0,1,0,0,0.957667,0,1,0,0
163,0.964445,0,1,0,0,0.964445,0,1,0,0,0.964445,0,1,0,0
164,0.971063,0,1,0,0,0.971063,0,1,0,0,0.971063,0,1,0,0
165,0.977522,0,1,0,0,0.977522,0,1,0,0,0.977522,0,1,0,0
166,0.983824,0,1,0,0,0.983824,0,1,0,0,0.983824,0,1,0,0
167,0.98997,0,1,0,0,0.98997,0,1,0,0,0.98997,0,1,0,0
168,0.995962,0,1,0,0,0.995962,0,1,0,0,0.995962,0,1,0,0
169,1.0018,0,1,0,0,1.0018,0,1,0,0,1.0018,0,1,0,0
170,1.00749,0,1,0,0,1.00749,0,1,0,0,1.00749,0,1,0,0
171,1.01303,0,1,0,0,1.01303,0,1,0,0,1.01303,0,1,0,0
172,1.01842,0,1,0,0,1.01842,0,1,0,0,1.01842,0,1,0,0
173,1.02366,0,1,0,0,1.02366,0,1,0,0,1.02366,0,1,0,0
174,1.02876,0,1,0,0,1.02876,0,1,0,0,1.02876,0,1,0,0
175,1.03372,0,1,0,0,1.03372,0,1,0,0,1.03372,0,1,0,0
176,1.03854,0,1,0,0,1.03854,0,1,0,0,1.03854,0,1,0,0
177,1.04322,0,1,0,0,1.04322,0,1,0,0,1.04322,0,1,0,0
178,1.04777,0,1,0,0,1.04777,0,1,0,0,1.04777,0,1,0,0
179,1.05218,0,1,0,0,1.05218,0,1,0,0,1.05218,0,1,0,0
180,1.05646,0,1,0,0,1.05646,0,1,0,0,1.05646,0,1,0,0
181,1.06061,0,1,0,0,1.06061,0,1,0,0,1.06061,0,1,0,0
182,1.06463,0,1,0,0,1.06463,0,1,0,0,1.06463,0,1,0,0
183,1.06852,0,1,0,0,1.06852,0,1,0,0,1.06852,0,1,0,0
184,1.07229,0,1,0,0,1.07229,0,1,0,0,1.07229,0,1,0,0
185,1.07594,0,1,0,0,1.07594,0,1,0,0,1.07594,0,1,0,0
186,1.07946,0,1,0,0,1.07946,0,1,0,0,1.07946,0,1,0,0
187,1.08287,0,1,0,0,1.08287,0,1,0,0,1.08287,0,1,0,0
188,1.08617,0,1,0,0,1.08617,0,1,0,0,1.08617,0,1,0,0
189,1.08935,0,1,0,0,1.08935,0,1,0,0,1.08935,0,1,0,0
190,1.09241,0,1,0,0,1.09241,0,1,0,0,1.09241,0,1,0,0
191,1.09537,0,1,0,0,1.09537,0,1,0,0,1.09537,0,1,0,0
192,1.09822,0,1,0,0,1.09822,0,1,0,0,1.09822,0,1,0,0
193,1.10096,0,1,0,0,1.10096,0,1,0,0,1.10096,0,1,0,0
194,1.1036,0,1,0,0,1.1036,0,1,0,0,1.1036,0,1,0,0
195,1.10614,0,1,0,0,1.10614,0,1,0,0,1.10614,0,1,0,0
